время,пользователь,сессия,событие,канал,устройство,категория,выручка,количество
2024-11-01 17:37:00,11012,2699,просмотр,поиск,мобильный,Комиксы,,
2024-11-23 13:28:00,11243,1302,просмотр,соцсети,десктоп,Подарки,,
2024-11-11 16:56:00,11156,3215,покупка,,десктоп,Книги,1039.0,3.0
2024-09-23 20:42:00,11374,8188,просмотр,реклама,мобильный,Канцелярия,,
2024-09-30 02:47:00,11380,127,покупка,рассылка,десктоп,Книги,1271.0,2.0
2024-11-26 14:59:00,13928,6880,просмотр,поиск,десктоп,Настольные игры,,
2024-09-20 05:51:00,12382,1477,просмотр,поиск,десктоп,Книги,,
2024-10-03 01:59:00,13825,8892,просмотр,поиск,десктоп,Настольные игры,,
2024-10-09 15:45:00,11418,2387,просмотр,рассылка,мобильный,Канцелярия,,
2024-09-21 01:55:00,10002,1178,визит,поиск,десктоп,Подарки,,
2024-09-26 15:44:00,11547,4233,визит,соцсети,мобильный,Комиксы,,
2024-11-21 11:46:00,12394,569,просмотр,реклама,мобильный,Книги,,
2024-10-27 10:09:00,14179,11408,корзина,рассылка,десктоп,Книги,,
2024-10-14 01:39:00,10531,1234,визит,поиск,десктоп,Канцелярия,,
2024-09-13 16:09:00,10238,4339,просмотр,реклама,мобильный,Книги,,
2024-10-28 00:34:00,13326,8020,визит,рассылка,мобильный,Книги,,
2024-11-15 16:58:00,12064,3105,покупка,поиск,десктоп,Книги,1886.0,3.0
2024-10-06 22:39:00,14103,8417,просмотр,соцсети,десктоп,Книги,,
2024-09-17 19:01:00,12898,10689,просмотр,,мобильный,Канцелярия,,
2024-10-27 18:49:00,12835,11951,визит,поиск,десктоп,Комиксы,,
2024-09-22 13:23:00,10856,9906,визит,поиск,мобильный,Книги,,
2024-10-15 16:51:00,12098,1042,визит,реклама,мобильный,Книги,,
2024-10-09 15:11:00,13197,9099,визит,поиск,десктоп,Настольные игры,,
2024-09-16 18:19:00,10165,4690,покупка,соцсети,мобильный,Книги,2178.0,3.0
2024-11-25 17:27:00,13556,5191,корзина,соцсети,мобильный,Комиксы,,
2024-10-02 04:16:00,12805,2670,корзина,поиск,мобильный,Книги,,
2024-10-24 07:09:00,10814,11039,визит,соцсети,мобильный,Книги,,
2024-11-16 06:15:00,13400,7506,визит,соцсети,мобильный,Книги,,
2024-10-06 12:17:00,13375,2990,оформление,рассылка,десктоп,Книги,,
2024-11-05 01:59:00,12254,8202,покупка,поиск,мобильный,Книги,1937.0,3.0
2024-10-27 09:51:00,12192,1738,покупка,рассылка,десктоп,Настольные игры,2346.0,1.0
2024-10-02 07:16:00,11873,4330,визит,соцсети,мобильный,Настольные игры,,
2024-11-14 00:32:00,10643,4190,просмотр,поиск,десктоп,Канцелярия,,
2024-11-23 02:40:00,10950,4492,корзина,поиск,десктоп,Канцелярия,,
2024-10-30 11:05:00,10386,1422,оформление,поиск,десктоп,Подарки,,
2024-10-03 02:24:00,11236,7130,просмотр,соцсети,десктоп,Книги,,
2024-10-13 17:20:00,11517,5935,просмотр,соцсети,десктоп,Настольные игры,,
2024-10-16 20:25:00,10112,8751,визит,поиск,десктоп,Комиксы,,
2024-11-02 04:48:00,12984,3199,просмотр,соцсети,мобильный,Комиксы,,
2024-11-27 06:32:00,12375,7586,просмотр,поиск,мобильный,Книги,,
2024-10-21 13:30:00,11023,8199,визит,поиск,мобильный,Книги,,
2024-11-05 15:45:00,10546,5526,просмотр,поиск,десктоп,Канцелярия,,
2024-09-14 14:14:00,12237,76,просмотр,соцсети,мобильный,Канцелярия,,
2024-10-17 01:32:00,12643,2128,визит,соцсети,мобильный,Книги,,
2024-11-25 10:19:00,11380,260,корзина,поиск,десктоп,Канцелярия,,
2024-10-08 05:40:00,12794,3698,просмотр,соцсети,десктоп,Канцелярия,,
2024-10-15 00:21:00,12837,8683,визит,поиск,десктоп,Подарки,,
2024-11-07 10:59:00,13048,3835,визит,поиск,десктоп,Комиксы,,
2024-10-08 13:00:00,10965,1050,просмотр,рассылка,десктоп,Книги,,
2024-10-28 15:57:00,12059,9004,корзина,рассылка,десктоп,Канцелярия,,
2024-09-02 03:34:00,12453,1389,оформление,поиск,десктоп,Канцелярия,,
2024-09-17 12:09:00,11743,11276,просмотр,реклама,мобильный,Канцелярия,,
2024-11-05 15:44:00,10546,5526,визит,поиск,десктоп,Канцелярия,,
2024-09-09 22:38:00,12654,9717,визит,реклама,мобильный,Книги,,
2024-09-14 12:13:00,12341,6024,просмотр,поиск,десктоп,Книги,,
2024-10-25 12:24:00,13782,6962,покупка,поиск,десктоп,Канцелярия,284.0,3.0
2024-09-18 15:26:00,13549,5600,просмотр,реклама,мобильный,Канцелярия,,
2024-10-11 08:13:00,11243,11952,визит,реклама,мобильный,Подарки,,
2024-09-05 06:23:00,10508,9384,корзина,поиск,мобильный,Настольные игры,,
2024-10-13 22:33:00,13603,4324,оформление,поиск,десктоп,Книги,,
2024-10-23 14:51:00,12782,4138,просмотр,соцсети,мобильный,Книги,,
2024-11-20 09:11:00,13254,3534,визит,рассылка,десктоп,Канцелярия,,
2024-09-10 00:36:00,11899,8023,визит,соцсети,мобильный,Настольные игры,,
2024-10-13 09:45:00,11700,5429,просмотр,поиск,десктоп,Книги,,
2024-11-23 01:38:00,10651,11001,просмотр,поиск,мобильный,Подарки,,
2024-10-20 17:11:00,13477,8330,визит,реклама,десктоп,Книги,,
2024-11-03 22:42:00,11522,6618,визит,соцсети,десктоп,Комиксы,,
2024-09-23 00:34:00,11193,2891,просмотр,соцсети,мобильный,Канцелярия,,
2024-09-21 03:46:00,11764,3424,просмотр,реклама,мобильный,Комиксы,,
2024-09-13 21:10:00,13345,8371,просмотр,рассылка,мобильный,Книги,,
2024-09-23 21:15:00,12119,11554,визит,поиск,десктоп,Книги,,
2024-11-22 12:41:00,13020,4352,просмотр,соцсети,десктоп,Подарки,,
2024-09-24 22:43:00,11108,2507,оформление,соцсети,мобильный,Комиксы,,
2024-11-26 00:22:00,10945,1670,визит,реклама,мобильный,Канцелярия,,
2024-10-11 23:16:00,10185,2168,просмотр,соцсети,десктоп,Книги,,
2024-10-29 13:59:00,13058,2622,просмотр,реклама,десктоп,Канцелярия,,
2024-10-15 09:09:00,10850,3023,визит,поиск,десктоп,Канцелярия,,
2024-09-26 12:20:00,12260,11947,корзина,соцсети,десктоп,Книги,,
2024-09-18 21:16:00,12314,9907,покупка,соцсети,мобильный,Книги,508.0,1.0
2024-09-17 09:28:00,13810,7635,визит,поиск,мобильный,Настольные игры,,
2024-10-08 10:36:00,11604,5790,визит,,мобильный,Подарки,,
2024-10-16 17:26:00,13619,376,визит,поиск,мобильный,Канцелярия,,
2024-11-17 18:00:00,13494,5304,покупка,поиск,мобильный,Книги,1669.0,3.0
2024-10-15 07:55:00,11304,7996,корзина,соцсети,мобильный,Канцелярия,,
2024-11-19 14:27:00,11687,4616,визит,поиск,мобильный,Настольные игры,,
2024-10-12 06:49:00,13539,4837,визит,рассылка,мобильный,Книги,,
2024-09-17 08:45:00,10057,5857,визит,рассылка,мобильный,Подарки,,
2024-11-06 19:26:00,10508,725,покупка,поиск,десктоп,Комиксы,741.0,1.0
2024-09-25 08:43:00,12765,6878,оформление,поиск,десктоп,Настольные игры,,
2024-09-13 10:27:00,12471,2932,визит,рассылка,мобильный,Канцелярия,,
2024-10-26 19:53:00,12943,10350,покупка,рассылка,десктоп,Настольные игры,1784.0,1.0
2024-10-14 22:35:00,12514,11932,оформление,рассылка,десктоп,Подарки,,
2024-11-14 21:36:00,10288,1295,покупка,рассылка,мобильный,Книги,1857.0,3.0
2024-10-18 03:08:00,12062,2751,визит,поиск,мобильный,Канцелярия,,
2024-11-10 23:24:00,13664,6100,оформление,рассылка,десктоп,Комиксы,,
2024-09-15 22:00:00,11801,6556,просмотр,соцсети,мобильный,Комиксы,,
2024-10-29 06:32:00,13098,667,просмотр,поиск,десктоп,Книги,,
2024-10-19 13:45:00,12720,6122,покупка,соцсети,десктоп,Книги,1049.0,2.0
2024-11-12 17:36:00,13913,2143,визит,соцсети,мобильный,Книги,,
2024-10-17 10:59:00,10157,9633,визит,поиск,десктоп,Канцелярия,,
2024-10-17 22:17:00,12697,4355,визит,реклама,мобильный,Канцелярия,,
2024-10-27 00:10:00,11347,6114,визит,соцсети,мобильный,Комиксы,,
2024-09-01 02:17:00,13591,624,просмотр,рассылка,мобильный,Подарки,,
2024-09-17 13:59:00,13281,3343,просмотр,рассылка,мобильный,Книги,,
2024-11-05 09:43:00,11357,7203,визит,соцсети,мобильный,Канцелярия,,
2024-11-01 04:26:00,12488,5097,покупка,поиск,десктоп,Книги,663.0,2.0
2024-11-01 22:04:00,10289,3368,просмотр,реклама,мобильный,Канцелярия,,
2024-11-20 13:54:00,11734,332,визит,рассылка,мобильный,Книги,,
2024-10-03 03:46:00,13351,8884,просмотр,реклама,десктоп,Канцелярия,,
2024-10-03 13:22:00,13811,10777,визит,,десктоп,Книги,,
2024-11-28 10:08:00,10392,8852,визит,поиск,мобильный,Канцелярия,,
2024-11-14 06:33:00,11438,4222,визит,реклама,десктоп,Настольные игры,,
2024-09-26 12:56:00,13774,7761,оформление,поиск,десктоп,Настольные игры,,
2024-11-21 11:03:00,13285,2580,покупка,поиск,десктоп,Комиксы,741.0,1.0
2024-09-18 18:47:00,11972,5736,визит,соцсети,мобильный,Настольные игры,,
2024-09-14 03:33:00,12635,9159,просмотр,реклама,десктоп,Настольные игры,,
2024-10-13 10:25:00,13438,6391,визит,поиск,десктоп,Комиксы,,
2024-11-04 03:23:00,11701,11671,визит,поиск,мобильный,Книги,,
2024-09-29 19:44:00,13582,7422,визит,поиск,мобильный,Книги,,
2024-10-14 10:18:00,12684,4854,просмотр,реклама,десктоп,Настольные игры,,
2024-10-21 11:01:00,12382,5279,корзина,поиск,мобильный,Подарки,,
2024-11-08 00:43:00,12967,1809,корзина,рассылка,десктоп,Комиксы,,
2024-10-29 06:18:00,12582,10678,визит,реклама,мобильный,Канцелярия,,
2024-11-08 06:07:00,12311,6634,визит,реклама,десктоп,Комиксы,,
2024-11-23 01:24:00,10702,7489,визит,поиск,мобильный,Комиксы,,
2024-10-21 03:25:00,11192,8849,просмотр,реклама,десктоп,Книги,,
2024-11-06 23:58:00,11982,9980,визит,соцсети,десктоп,Книги,,
2024-10-14 08:02:00,10229,7622,просмотр,соцсети,мобильный,Книги,,
2024-09-11 23:48:00,11919,11403,визит,поиск,десктоп,Подарки,,
2024-10-22 01:16:00,13653,6726,визит,реклама,мобильный,Комиксы,,
2024-11-16 10:35:00,12541,7714,просмотр,реклама,десктоп,Канцелярия,,
2024-10-16 05:34:00,12320,6412,визит,реклама,мобильный,Канцелярия,,
2024-10-07 18:59:00,10938,746,визит,рассылка,десктоп,Канцелярия,,
2024-09-11 22:10:00,11088,9947,визит,поиск,мобильный,Книги,,
2024-10-29 10:04:00,12931,439,визит,реклама,мобильный,Канцелярия,,
2024-09-03 22:10:00,11572,5731,визит,рассылка,мобильный,Книги,,
2024-10-13 22:55:00,13652,10437,просмотр,соцсети,десктоп,Канцелярия,,
2024-10-31 08:06:00,13670,5656,визит,соцсети,мобильный,Комиксы,,
2024-09-12 15:41:00,11307,5737,просмотр,поиск,мобильный,Книги,,
2024-10-21 03:40:00,13953,3862,просмотр,поиск,мобильный,Книги,,
2024-11-10 18:33:00,13893,8266,визит,рассылка,десктоп,Книги,,
2024-10-03 03:05:00,10371,2453,визит,реклама,мобильный,Канцелярия,,
2024-11-08 18:40:00,10047,7062,просмотр,соцсети,мобильный,Книги,,
2024-11-03 17:36:00,10939,1218,просмотр,поиск,мобильный,Подарки,,
2024-11-15 14:05:00,11463,10121,просмотр,поиск,мобильный,Канцелярия,,
2024-09-11 12:19:00,14111,2370,визит,поиск,десктоп,Книги,,
2024-09-02 05:43:00,12614,8244,оформление,поиск,десктоп,Комиксы,,
2024-11-18 05:00:00,13460,7768,оформление,поиск,десктоп,Канцелярия,,
2024-11-12 05:15:00,10483,5652,визит,соцсети,мобильный,Подарки,,
2024-11-13 09:48:00,11797,10325,визит,соцсети,десктоп,Книги,,
2024-11-06 05:32:00,13487,9343,визит,реклама,десктоп,Подарки,,
2024-11-05 16:38:00,12476,6435,оформление,поиск,десктоп,Канцелярия,,
2024-09-06 06:40:00,13977,3471,просмотр,поиск,десктоп,Подарки,,
2024-10-05 22:14:00,13506,4968,визит,поиск,мобильный,Канцелярия,,
2024-11-27 00:34:00,12722,8708,покупка,,мобильный,Книги,293.0,1.0
2024-09-23 16:40:00,13171,7896,визит,реклама,мобильный,Канцелярия,,
2024-10-06 17:48:00,13581,6209,визит,соцсети,мобильный,Настольные игры,,
2024-10-14 16:55:00,10748,4016,просмотр,поиск,мобильный,Канцелярия,,
2024-09-17 04:45:00,11118,726,просмотр,рассылка,мобильный,Комиксы,,
2024-09-22 04:39:00,11474,266,покупка,рассылка,мобильный,Книги,767.0,1.0
2024-11-04 22:29:00,10706,1970,визит,рассылка,мобильный,Настольные игры,,
2024-11-04 11:05:00,10312,2816,корзина,поиск,десктоп,Комиксы,,
2024-11-12 17:33:00,13788,7978,визит,соцсети,десктоп,Настольные игры,,
2024-10-11 10:46:00,11492,6405,корзина,поиск,десктоп,Книги,,
2024-10-15 23:17:00,12494,8206,корзина,рассылка,мобильный,Канцелярия,,
2024-09-28 07:49:00,12518,292,визит,рассылка,мобильный,Книги,,
2024-11-12 18:50:00,13285,7910,просмотр,поиск,мобильный,Комиксы,,
2024-09-10 20:01:00,12077,6805,просмотр,реклама,десктоп,Книги,,
2024-10-17 16:30:00,11594,2396,визит,реклама,мобильный,Комиксы,,
2024-09-02 20:06:00,11353,108,визит,рассылка,мобильный,Подарки,,
2024-10-23 13:35:00,12992,5892,просмотр,соцсети,мобильный,Канцелярия,,
2024-09-07 23:10:00,14002,2338,просмотр,рассылка,мобильный,Подарки,,
2024-09-24 21:18:00,13084,5442,оформление,поиск,десктоп,Канцелярия,,
2024-11-02 08:45:00,10698,6393,корзина,реклама,десктоп,Комиксы,,
2024-11-21 12:59:00,11818,6445,корзина,соцсети,мобильный,Канцелярия,,
2024-10-10 23:57:00,10336,2703,визит,соцсети,мобильный,Книги,,
2024-10-07 10:37:00,12502,2467,просмотр,соцсети,мобильный,Комиксы,,
2024-09-28 00:58:00,11709,6521,просмотр,поиск,мобильный,Книги,,
2024-11-22 19:23:00,10347,4951,просмотр,поиск,десктоп,Настольные игры,,
2024-11-02 09:16:00,12041,5906,визит,поиск,мобильный,Подарки,,
2024-11-28 10:43:00,11865,3624,просмотр,соцсети,мобильный,Подарки,,
2024-10-14 10:41:00,13083,11793,корзина,соцсети,десктоп,Канцелярия,,
2024-09-09 18:04:00,13159,6629,корзина,поиск,десктоп,Канцелярия,,
2024-10-11 22:32:00,10066,10200,оформление,соцсети,мобильный,Настольные игры,,
2024-10-23 05:47:00,11526,8234,визит,соцсети,десктоп,Комиксы,,
2024-11-07 21:23:00,13529,11977,просмотр,реклама,десктоп,Подарки,,
2024-11-20 03:12:00,13406,8127,просмотр,соцсети,мобильный,Книги,,
2024-10-27 13:49:00,10640,10018,корзина,реклама,мобильный,Настольные игры,,
2024-09-17 19:23:00,12804,11312,визит,реклама,мобильный,Подарки,,
2024-09-15 12:17:00,12120,8439,просмотр,поиск,десктоп,Комиксы,,
2024-11-29 19:20:00,13937,3225,покупка,рассылка,мобильный,Книги,497.0,1.0
2024-11-01 05:14:00,11679,633,просмотр,поиск,мобильный,Книги,,
2024-10-12 03:58:00,12316,5400,покупка,рассылка,десктоп,Книги,423.0,1.0
2024-10-09 15:49:00,13128,487,визит,поиск,десктоп,Книги,,
2024-11-08 06:03:00,13614,514,корзина,рассылка,мобильный,Канцелярия,,
2024-10-17 23:08:00,10329,11652,визит,соцсети,десктоп,Комиксы,,
2024-10-04 21:57:00,10342,1385,визит,соцсети,мобильный,Книги,,
2024-10-09 13:06:00,12088,1008,визит,поиск,десктоп,Настольные игры,,
2024-10-01 09:10:00,13179,11407,визит,реклама,мобильный,Книги,,
2024-09-18 00:37:00,13744,7626,корзина,поиск,десктоп,Канцелярия,,
2024-10-14 19:06:00,10316,11572,визит,реклама,мобильный,Настольные игры,,
2024-10-18 02:04:00,11889,9534,просмотр,поиск,мобильный,Канцелярия,,
2024-10-22 12:32:00,12989,3403,визит,поиск,десктоп,Комиксы,,
2024-09-07 23:08:00,14002,2338,визит,рассылка,мобильный,Подарки,,
2024-09-18 12:06:00,12296,2876,визит,поиск,мобильный,Книги,,
2024-09-13 16:21:00,11803,7405,просмотр,соцсети,десктоп,Книги,,
2024-09-07 05:51:00,14124,851,просмотр,рассылка,десктоп,Комиксы,,
2024-10-22 00:38:00,13698,6658,визит,соцсети,десктоп,Книги,,
2024-09-22 09:53:00,10390,3390,визит,поиск,мобильный,Канцелярия,,
2024-09-10 22:34:00,11727,8374,просмотр,реклама,мобильный,Книги,,
2024-11-21 10:51:00,13285,2580,визит,поиск,десктоп,Комиксы,,
2024-11-10 00:49:00,11104,8945,визит,реклама,мобильный,Книги,,
2024-11-17 16:32:00,12997,7274,просмотр,реклама,мобильный,Настольные игры,,
2024-09-29 01:36:00,12742,11550,визит,поиск,мобильный,Настольные игры,,
2024-11-20 11:33:00,12873,8741,оформление,соцсети,десктоп,Комиксы,,
2024-10-13 13:15:00,10427,1777,оформление,рассылка,десктоп,Канцелярия,,
2024-11-18 11:08:00,11550,1316,визит,поиск,мобильный,Книги,,
2024-11-15 09:35:00,13662,10425,корзина,соцсети,десктоп,Книги,,
2024-10-13 00:22:00,11567,8400,просмотр,поиск,десктоп,Книги,,
2024-11-18 18:24:00,12889,6672,визит,поиск,мобильный,Канцелярия,,
2024-10-23 01:00:00,10009,2957,визит,поиск,десктоп,Книги,,
2024-10-13 02:01:00,11231,7588,просмотр,соцсети,мобильный,Комиксы,,
2024-09-23 17:53:00,11469,8602,корзина,поиск,десктоп,Канцелярия,,
2024-11-27 05:56:00,12596,8876,просмотр,рассылка,мобильный,Канцелярия,,
2024-10-23 07:20:00,11170,7550,корзина,поиск,десктоп,Книги,,
2024-09-03 15:30:00,13603,2253,просмотр,поиск,мобильный,Канцелярия,,
2024-09-28 09:29:00,10155,4254,визит,поиск,мобильный,Канцелярия,,
2024-11-20 06:11:00,12645,383,просмотр,соцсети,десктоп,Канцелярия,,
2024-11-26 05:20:00,13920,4049,просмотр,соцсети,десктоп,Книги,,
2024-11-29 10:10:00,12645,2303,покупка,рассылка,мобильный,Настольные игры,3933.0,2.0
2024-10-20 18:41:00,11469,10735,визит,рассылка,мобильный,Подарки,,
2024-09-29 01:11:00,10776,5458,просмотр,реклама,десктоп,Книги,,
2024-10-18 14:56:00,13194,3628,покупка,соцсети,мобильный,Книги,376.0,1.0
2024-11-08 08:17:00,13206,1881,визит,соцсети,десктоп,Книги,,
2024-10-22 00:11:00,12238,791,просмотр,рассылка,десктоп,Канцелярия,,
2024-11-18 18:59:00,10277,6637,визит,реклама,десктоп,Подарки,,
2024-10-21 20:34:00,11242,7010,визит,реклама,десктоп,Комиксы,,
2024-11-26 21:03:00,11921,3411,визит,реклама,десктоп,Книги,,
2024-10-29 00:28:00,13399,2734,визит,рассылка,десктоп,Книги,,
2024-11-16 16:52:00,10420,11162,визит,поиск,десктоп,Комиксы,,
2024-10-22 21:05:00,11727,11451,просмотр,поиск,мобильный,Книги,,
2024-10-31 08:20:00,10749,11388,просмотр,соцсети,мобильный,Книги,,
2024-10-15 14:18:00,12636,6949,визит,рассылка,мобильный,Комиксы,,
2024-10-16 09:45:00,11043,10293,просмотр,поиск,мобильный,Книги,,
2024-09-20 18:18:00,10647,11677,визит,поиск,мобильный,Книги,,
2024-10-15 22:50:00,13530,9765,корзина,поиск,десктоп,Подарки,,
2024-11-19 11:47:00,11067,5382,визит,поиск,мобильный,Настольные игры,,
2024-10-17 21:32:00,11744,4082,просмотр,соцсети,десктоп,Книги,,
2024-10-03 21:55:00,12206,6794,просмотр,реклама,десктоп,Подарки,,
2024-10-25 12:00:00,14158,5960,оформление,соцсети,мобильный,Канцелярия,,
2024-11-05 15:48:00,10546,5526,покупка,поиск,десктоп,Канцелярия,303.0,1.0
2024-11-10 17:55:00,11314,7463,просмотр,реклама,мобильный,Книги,,
2024-09-05 18:04:00,10190,6892,просмотр,поиск,мобильный,Книги,,
2024-11-05 01:20:00,13036,10911,просмотр,реклама,мобильный,Книги,,
2024-10-17 04:57:00,12805,8641,просмотр,реклама,десктоп,Канцелярия,,
2024-11-28 12:30:00,12816,1263,визит,рассылка,мобильный,Подарки,,
2024-11-17 20:36:00,13369,6029,визит,рассылка,мобильный,Книги,,
2024-10-17 07:10:00,13902,9258,просмотр,реклама,мобильный,Канцелярия,,
2024-09-14 05:51:00,13460,5594,визит,поиск,мобильный,Канцелярия,,
2024-09-01 18:23:00,10563,5199,корзина,поиск,мобильный,Комиксы,,
2024-09-06 20:43:00,10521,9897,просмотр,соцсети,десктоп,Канцелярия,,
2024-09-02 07:14:00,11909,8081,корзина,поиск,десктоп,Канцелярия,,
2024-10-26 20:55:00,12681,6720,покупка,поиск,десктоп,Настольные игры,8927.0,3.0
2024-09-28 04:32:00,11550,3646,визит,реклама,десктоп,Книги,,
2024-10-16 15:32:00,13907,11273,просмотр,соцсети,десктоп,Настольные игры,,
2024-10-08 20:14:00,13035,11086,просмотр,поиск,мобильный,Комиксы,,
2024-09-14 16:58:00,11755,6380,оформление,рассылка,десктоп,Канцелярия,,
2024-10-07 17:38:00,13603,4916,визит,реклама,мобильный,Канцелярия,,
2024-11-20 11:56:00,11585,3268,визит,соцсети,десктоп,Подарки,,
2024-10-13 05:18:00,11164,958,корзина,поиск,десктоп,Комиксы,,
2024-10-13 21:35:00,14182,8133,покупка,реклама,мобильный,Книги,638.0,1.0
2024-10-16 10:38:00,11232,4648,визит,рассылка,мобильный,Канцелярия,,
2024-11-28 15:27:00,11773,6399,корзина,соцсети,мобильный,Подарки,,
2024-09-16 11:34:00,13471,10355,визит,поиск,мобильный,Комиксы,,
2024-10-08 18:40:00,10283,6992,визит,рассылка,мобильный,Книги,,
2024-11-25 03:50:00,12735,2544,просмотр,реклама,мобильный,Комиксы,,
2024-10-22 21:00:00,11727,11451,визит,поиск,мобильный,Книги,,
2024-10-31 07:04:00,11594,9767,корзина,поиск,десктоп,Настольные игры,,
2024-10-19 01:43:00,12296,10348,корзина,поиск,мобильный,Канцелярия,,
2024-11-03 06:28:00,13376,1885,визит,соцсети,мобильный,Настольные игры,,
2024-11-26 00:25:00,10945,1670,просмотр,реклама,мобильный,Канцелярия,,
2024-09-22 12:10:00,12658,8962,просмотр,реклама,мобильный,Настольные игры,,
2024-11-20 04:47:00,13455,5602,просмотр,поиск,десктоп,Книги,,
2024-09-19 11:32:00,11069,10875,визит,соцсети,мобильный,Подарки,,
2024-10-16 00:23:00,11679,2335,просмотр,поиск,десктоп,Настольные игры,,
2024-10-17 01:34:00,12643,2128,корзина,соцсети,мобильный,Книги,,
2024-11-29 14:07:00,12382,503,оформление,рассылка,десктоп,Подарки,,
2024-11-23 11:38:00,11385,2016,просмотр,реклама,мобильный,Книги,,
2024-11-15 21:20:00,11911,96,визит,реклама,мобильный,Книги,,
2024-11-21 01:11:00,12092,10432,просмотр,реклама,десктоп,Канцелярия,,
2024-10-30 04:45:00,10110,8523,визит,реклама,десктоп,Книги,,
2024-11-12 17:16:00,12709,8669,визит,поиск,мобильный,Подарки,,
2024-09-26 01:39:00,13166,4044,визит,поиск,мобильный,Комиксы,,
2024-11-29 15:42:00,12156,1770,покупка,соцсети,мобильный,Канцелярия,548.0,2.0
2024-11-22 07:42:00,10142,4438,просмотр,реклама,десктоп,Комиксы,,
2024-10-15 20:21:00,13964,4039,визит,поиск,мобильный,Книги,,
2024-10-10 18:03:00,11538,10580,визит,реклама,десктоп,Книги,,
2024-10-31 22:59:00,11463,9135,оформление,поиск,десктоп,Настольные игры,,
2024-09-26 20:29:00,12680,2871,визит,соцсети,мобильный,Книги,,
2024-10-08 23:01:00,10313,1752,просмотр,поиск,мобильный,Канцелярия,,
2024-11-02 13:07:00,12107,9486,просмотр,поиск,мобильный,Канцелярия,,
2024-10-22 14:12:00,12420,11080,просмотр,реклама,мобильный,Канцелярия,,
2024-11-27 10:10:00,12537,10107,корзина,поиск,десктоп,Канцелярия,,
2024-10-21 20:13:00,10280,11728,корзина,соцсети,десктоп,Настольные игры,,
2024-10-05 12:18:00,11717,10866,корзина,поиск,десктоп,Комиксы,,
2024-09-08 16:47:00,11977,3103,визит,реклама,мобильный,Комиксы,,
2024-11-16 00:37:00,10124,3793,визит,поиск,десктоп,Книги,,
2024-09-01 13:53:00,14019,7136,визит,реклама,мобильный,Канцелярия,,
2024-10-27 07:55:00,10895,10008,визит,поиск,мобильный,Канцелярия,,
2024-09-30 21:41:00,10539,5758,корзина,реклама,мобильный,Подарки,,
2024-11-17 00:30:00,11293,2315,визит,реклама,мобильный,Канцелярия,,
2024-11-07 23:41:00,13164,6110,просмотр,поиск,десктоп,Книги,,
2024-11-05 05:41:00,12308,7152,просмотр,рассылка,мобильный,Книги,,
2024-11-25 05:54:00,10327,802,просмотр,реклама,мобильный,Комиксы,,
2024-09-04 16:02:00,11277,2921,визит,соцсети,мобильный,Настольные игры,,
2024-11-12 01:49:00,10122,7438,просмотр,соцсети,десктоп,Подарки,,
2024-09-23 02:53:00,12261,1767,визит,рассылка,мобильный,Книги,,
2024-09-13 00:58:00,10010,11701,визит,поиск,десктоп,Настольные игры,,
2024-09-27 07:39:00,11405,4734,визит,поиск,десктоп,Книги,,
2024-11-07 10:41:00,11304,1412,корзина,соцсети,десктоп,Книги,,
2024-11-28 05:43:00,14126,10430,визит,поиск,мобильный,Подарки,,
2024-10-05 07:23:00,13788,9226,просмотр,реклама,десктоп,Комиксы,,
2024-09-11 00:06:00,11139,9832,оформление,поиск,десктоп,Книги,,
2024-09-17 05:15:00,13305,9971,визит,рассылка,мобильный,Настольные игры,,
2024-10-06 12:52:00,10865,9438,просмотр,реклама,десктоп,Канцелярия,,
2024-09-01 20:10:00,12514,1359,визит,поиск,мобильный,Настольные игры,,
2024-09-16 18:30:00,13621,6501,визит,реклама,десктоп,Канцелярия,,
2024-11-23 21:22:00,10698,11096,оформление,соцсети,мобильный,Книги,,
2024-09-21 04:29:00,11643,9127,просмотр,реклама,мобильный,Книги,,
2024-09-11 08:34:00,10841,7409,просмотр,поиск,десктоп,Книги,,
2024-10-14 12:55:00,12175,1434,визит,реклама,мобильный,Книги,,
2024-11-12 02:33:00,10571,9880,визит,рассылка,мобильный,Комиксы,,
2024-11-08 21:59:00,12001,1946,просмотр,реклама,мобильный,Канцелярия,,
2024-10-14 08:55:00,11276,7273,оформление,поиск,десктоп,Канцелярия,,
2024-10-14 11:06:00,13600,1061,просмотр,соцсети,мобильный,Книги,,
2024-10-15 19:40:00,12835,1352,визит,соцсети,десктоп,Канцелярия,,
2024-09-23 19:38:00,11461,4046,корзина,рассылка,десктоп,Настольные игры,,
2024-11-11 02:01:00,11285,1090,визит,поиск,десктоп,Книги,,
2024-10-24 23:32:00,14091,8193,визит,реклама,десктоп,Канцелярия,,
2024-10-09 08:11:00,12504,10794,просмотр,поиск,мобильный,Подарки,,
2024-11-11 06:25:00,10698,6605,визит,поиск,мобильный,Комиксы,,
2024-11-04 14:58:00,11873,4474,корзина,соцсети,десктоп,Книги,,
2024-11-26 13:52:00,13122,3067,покупка,рассылка,десктоп,Подарки,4550.0,3.0
2024-09-30 22:14:00,12955,5415,просмотр,поиск,десктоп,Настольные игры,,
2024-10-02 04:18:00,12805,2670,покупка,поиск,мобильный,Книги,1339.0,2.0
2024-09-15 04:42:00,11159,3086,визит,поиск,мобильный,Канцелярия,,
2024-10-17 02:26:00,13452,1548,корзина,поиск,десктоп,Комиксы,,
